0, 320, ""
320, 910, "Alright"
910, 1170, ","
1170, 1480, "so"
1480, 1820, "how"
1820, 2080, "to"
2080, 2990, "rebuild"
2990, 4000, "."
4000, 4190, "So"
4190, 4380, "it"
4380, 4580, "'s"
4580, 4960, "very"
4960, 5830, "important"
5830, 6020, "to"
6020, 6700, "rebuild"
6700, 7090, "your"
7090, 8000, "operation"
8000, 9000, "."
9000, 9450, "Well"
9450, 9720, ","
9720, 10080, "how"
10080, 10500, "is"
10500, 10560, "it"
10560, 11030, "easy"
11030, 11440, "?"
11440, 11720, "You"
11720, 12100, "just"
12100, 12380, "run"
12380, 12760, "this"
12760, 13420, "command"
13420, 13630, "in"
13630, 13890, "the"
13890, 14590, "package"
14590, 15020, "where"
15020, 15300, "you"
15300, 15580, "are"
15580, 15920, "."
15920, 16080, "So"
16080, 16410, "that"
16410, 16570, "'s"
16570, 16810, "the"
16810, 17300, "answer"
17300, 17460, "to"
17460, 17870, "where"
17870, 18110, "and"
18110, 18350, "how"
18350, 18430, "I"
18430, 18860, "guess"
18860, 19160, "."
19160, 19510, "So"
19510, 19860, "as"
19860, 20380, "you"
20380, 20900, "can"
20900, 21620, "see"
21620, 21760, ","
21760, 21930, "I"
21930, 22270, "'m"
22270, 22780, "now"
22780, 23140, "in"
23140, 23660, "the"
23660, 24180, "SMS"
24180, 25400, "package"
25400, 26000, "."
26000, 26000, ""
26000, 26210, "So"
26210, 26530, "let"
26530, 26720, "'s"
26720, 27170, "here"
27170, 27630, "and"
27630, 27700, "in"
27700, 28240, "order"
28240, 28460, "to"
28460, 29200, "rebuild"
29200, 29630, "this"
29630, 30000, "one"
30000, 30110, ","
30110, 30180, "I"
30180, 30320, "can"
30320, 30620, "just"
30620, 31330, "rebuild"
31330, 32310, "operation"
32310, 32650, "dot"
32650, 33000, "."
33000, 34090, "However"
34090, 34390, ","
34390, 34710, "if"
34710, 34860, "I"
34860, 35550, "were"
35550, 35790, "in"
35790, 36250, "the"
36250, 36400, "B"
36400, 36850, "2"
36850, 37010, "P"
37010, 38070, "folder"
38070, 38250, ","
38250, 38310, "I"
38310, 38630, "can"
38630, 38950, "run"
38950, 39690, "rebuild"
39690, 40650, "operation"
40650, 41000, "SMS"
41000, 41000, ","
41000, 41000, "right"
41000, 41000, "?"
41000, 41590, "Because"
41590, 41790, "the"
41790, 42350, "folder"
42350, 42640, "SMS"
42640, 42770, "is"
42770, 43360, "located"
43360, 43530, "in"
43530, 43780, "the"
43780, 43860, "B"
43860, 44110, "2"
44110, 44190, "P"
44190, 44700, "folder"
44700, 45000, "."
45000, 45160, "So"
45160, 45710, "basically"
45710, 45900, "the"
45900, 46420, "argument"
46420, 46550, "of"
46550, 46770, "the"
46770, 47190, "rebuild"
47190, 47770, "operation"
47770, 47980, "CLI"
47980, 48370, "is"
48370, 48900, "the"
48900, 50000, "folder"
50000, 50300, "that"
50300, 50550, "you"
50550, 50830, "want"
50830, 51000, "to"
51000, 51000, "rebuild"
51000, 51000, ","
51000, 51000, ""
51000, 52190, "relatively"
52190, 52410, "to"
52410, 52920, "your"
52920, 53710, "current"
53710, 54540, "working"
54540, 55610, "directory"
55610, 56000, "."
56000, 60000, "So"
60000, 60210, ","
60210, 60280, "oh"
60280, 60420, ","
60420, 61120, "actually"
61120, 61140, ","
61140, 61240, "or"
61240, 61360, "it"
61360, 61470, "'s"
61470, 61660, "the"
61660, 61910, "name"
61910, 62020, "of"
62020, 62210, "the"
62210, 62760, "operation"
62760, 63000, "."
63000, 63540, "Sorry"
63540, 63670, ","
63670, 63760, "I"
63760, 64340, "forgot"
64340, 64530, "to"
64530, 65210, "specify"
65210, 65500, "the"
65500, 66030, "exact"
66030, 66660, "meaning"
66660, 67000, "."
67000, 67130, "So"
67130, 67330, "the"
67330, 67670, "exact"
67670, 68150, "meaning"
68150, 68280, "of"
68280, 68480, "the"
68480, 68820, "first"
68820, 69370, "argument"
69370, 69500, "is"
69500, 70000, "either"
70000, 70140, "a"
70140, 71370, "relative"
71370, 72090, "path"
72090, 72180, "to"
72180, 72450, "the"
72450, 73000, "folder"
73000, 73140, "of"
73140, 73340, "the"
73340, 74000, "operation"
74000, 74150, "or"
74150, 74300, "it"
74300, 74440, "'s"
74440, 74740, "just"
74740, 75180, "simply"
75180, 75400, "the"
75400, 75700, "name"
75700, 75850, "of"
75850, 76060, "the"
76060, 76740, "operation"
76740, 77000, "."
77000, 77000, ""
77000, 77320, "So"
77320, 77900, "in"
77900, 78270, "case"
78270, 78430, "I"
78430, 78750, "am"
78750, 80020, "anywhere"
80020, 80630, "else"
80630, 81000, ","
81000, 81180, "for"
81180, 81610, "example"
81610, 81860, "here"
81860, 82000, ","
82000, 82130, "I"
82130, 82520, "can"
82520, 83430, "rebuild"
83430, 84600, "operation"
84600, 85000, "SMS"
85000, 85160, "to"
85160, 85730, "rebuild"
85730, 86000, "SMS"
86000, 86750, "operation"
86750, 87000, "."
87000, 87510, "What"
87510, 88170, "this"
88170, 88560, "does"
88560, 88910, "and"
88910, 89420, "that"
89420, 89660, "'s"
89660, 90050, "the"
90050, 90850, "answer"
90850, 91060, "to"
91060, 91570, "your"
91570, 91940, "why"
91940, 93000, "question"
93000, 93570, "is"
93570, 94140, "it"
94140, 95170, "will"
95170, 97000, "create"
97000, 97270, "the"
97270, 97990, "database"
97990, 99330, "here"
99330, 99420, "for"
99420, 99990, "your"
99990, 100990, "operation"
100990, 101000, ","
101000, 101000, ""
101000, 101890, "which"
101890, 102570, "will"
102570, 103440, "index"
103440, 103960, "all"
103960, 104480, "the"
104480, 105160, "code"
105160, 105520, ","
105520, 106040, "all"
106040, 106560, "the"
106560, 107260, "type"
107260, 108000, "code"
108000, 109000, ","
109000, 109080, "and"
109080, 109190, "find"
109190, 109270, "all"
109270, 109350, "the"
109350, 109540, "imports"
109540, 109590, ","
109590, 109670, "all"
109670, 109740, "the"
109740, 110000, "exports"
110000, 110390, ","
110390, 111000, "all"
111000, 111000, "the"
111000, 111000, "comments"
111000, 111000, ","
111000, 111200, "all"
111200, 111400, "the"
111400, 111810, "build"
111810, 112130, "errors"
112130, 112260, ","
112260, 112370, "it"
112370, 112870, "indexes"
112870, 113130, "your"
113130, 113730, "operation"
113730, 114000, "with"
114000, 114630, "operation"
114630, 115000, "index"
115000, 116060, "and"
116060, 116090, "it"
116090, 116310, "finds"
116310, 116430, "all"
116430, 116640, "the"
116640, 117000, "variables"
117000, 117000, ","
117000, 117320, "all"
117320, 117640, "the"
117640, 118720, "interfaces"
118720, 119040, "and"
119040, 119350, "all"
119350, 119680, "the"
119680, 120650, "functions"
120650, 121000, "."
121000, 121510, "That"
121510, 121830, "'s"
121830, 122050, "the"
122050, 122500, "most"
122500, 123650, "important"
123650, 123800, ","
123800, 124260, "what"
124260, 124500, "it"
124500, 125000, "does"
125000, 125000, "."
125000, 125420, ""
125420, 125570, "And"
125570, 126320, "with"
126320, 127090, "that"
127090, 127700, "you"
127700, 128270, "can"
128270, 130000, "basically"
130000, 134090, "use"
134090, 134460, "that"
134460, 134740, "in"
134740, 135260, "order"
135260, 135510, "to"
135510, 135720, "do"
135720, 136280, "other"
136280, 137000, "things"
137000, 137140, ","
137140, 137390, "like"
137390, 137680, "make"
137680, 137710, "a"
137710, 137990, "form"
137990, 138070, ","
138070, 138180, "for"
138180, 138430, "example"
138430, 138500, ","
138500, 138990, "automatically"
138990, 139000, ","
139000, 139580, "because"
139580, 139750, "we"
139750, 140070, "have"
140070, 140330, "the"
140330, 140730, "index"
140730, 140890, "of"
140890, 141140, "the"
141140, 141800, "function"
141800, 141980, ","
141980, 142280, "we"
142280, 142430, "know"
142430, 142980, "exactly"
142980, 143230, "what"
143230, 143450, "the"
143450, 143820, "input"
143820, 144000, "is"
144000, 144240, "and"
144240, 144560, "what"
144560, 144900, "the"
144900, 145270, "output"
145270, 145590, "will"
145590, 145750, "be"
145750, 146000, "."
146000, 146180, "So"
146180, 146540, "this"
146540, 146720, "is"
146720, 146990, "why"
146990, 147170, "we"
147170, 147530, "need"
147530, 147710, "it"
147710, 148000, "."
